Facades,Habitable Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
2.0,110.0,2.0,1.0,1.0,2.0,1.0,0,1,12.257575757575758,0,6.0,29.20289855072464,5.0,248.0,0,0,1,0,0,0,0,0,0,0,0
2.0,105.0,3.0,2.0,2.0,7.0,1.0,0,1,30.0,0,6.0,30.96,7.0,131.8421052631579,0,0,0,0,1,0,0,0,0,0,0
3.0,74.0,2.0,1.0,1.0,4.0,1.0,0,1,3.0,0,4.0,25.0,6.0,129.0,1,0,0,0,0,0,0,0,0,0,0
2.0,82.0,2.0,1.0,1.0,4.0,1.0,0,1,12.0,0,5.0,29.252225519287837,4.0,172.0,0,1,0,0,0,0,0,0,0,0,0
2.0,65.0,1.0,1.0,2.0,4.0,3.0,0,1,11.0,0,6.0,23.0,7.0,81.0,0,0,0,0,0,0,0,0,1,0,0
2.0,137.0,3.0,1.0,2.0,6.0,2.0,0,1,3.0,0,5.0,25.0,5.0,102.0,0,1,0,0,0,0,0,0,0,0,0
4.0,88.0,2.0,1.0,2.0,5.0,3.0,0,1,20.0,0,6.0,56.072463768115945,6.0,133.041484375,0,1,0,0,0,0,0,0,0,0,0
3.0,101.0,1.0,1.0,2.0,4.0,1.0,0,1,13.0,1,4.0,42.0,6.0,151.9254887218045,1,0,0,0,0,0,0,0,0,0,0
1.0,48.0,1.0,1.0,1.0,2.0,3.0,1,0,12.023584905660377,0,6.0,33.66778523489933,5.0,128.0,0,1,0,0,0,0,0,0,0,0,0
2.0,122.0,2.0,1.0,1.0,2.0,2.0,0,1,18.0,0,6.0,35.142857142857146,6.0,144.18260869565216,0,0,0,0,1,0,0,0,0,0,0
2.0,75.0,2.0,1.0,1.0,3.0,1.0,0,0,13.03045685279188,0,4.0,29.0,6.0,134.0,0,0,0,0,0,0,0,1,0,0,0
4.0,85.0,2.0,1.0,1.0,4.0,1.0,0,1,4.0,0,6.0,30.0,7.0,80.0,0,0,1,0,0,0,0,0,0,0,0
2.0,106.0,2.0,1.0,1.0,4.0,3.0,0,1,9.0,0,4.0,32.666666666666664,6.0,139.9142857142857,0,0,0,1,0,0,0,0,0,0,0
4.0,90.0,2.0,1.0,1.0,3.0,1.0,0,1,10.0,0,6.0,34.0,6.0,95.80851063829788,0,0,1,0,0,0,0,0,0,0,0
2.0,115.0,3.0,1.0,1.0,5.0,1.0,0,0,14.875,0,4.0,32.666666666666664,6.0,167.0,0,0,0,1,0,0,0,0,0,0,0
2.0,80.0,2.0,1.0,1.0,4.0,1.0,0,1,6.0,0,4.0,32.92857142857143,6.0,164.60368932038836,0,0,0,0,0,0,0,0,0,0,1
2.0,76.0,1.0,1.0,1.0,3.0,3.0,0,1,8.0,0,4.0,33.66778523489933,5.0,110.0,0,1,0,0,0,0,0,0,0,0,0
2.0,95.0,2.0,1.0,1.0,4.0,1.0,0,1,9.578212290502794,0,4.0,39.0,4.0,176.0,0,1,0,0,0,0,0,0,0,0,0
