Price,Postal Code,Facades,Habitable Surface,Land Surface,Type,Subtype,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,Heating Type,Province
380600.0,2430,3.0,209.0,0.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,INSTALLED,0,0,,1,,41.0,,,,ANTWERPEN
384946.0,2520,2.0,150.0,251.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
389402.0,2520,2.0,149.0,254.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
414840.0,2520,2.0,192.0,272.0,HOUSE,HOUSE,4.0,1.0,,5.0,,0,1,,0,,,A,,,ANTWERPEN
424154.0,2520,2.0,194.0,268.0,HOUSE,HOUSE,4.0,1.0,,5.0,,0,1,,0,,,A,,,ANTWERPEN
470352.0,2520,3.0,166.0,400.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
486068.0,2520,3.0,168.0,448.0,HOUSE,HOUSE,3.0,1.0,,4.0,,0,0,,0,,,A,,,ANTWERPEN
397660.0,2430,3.0,201.0,505.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,,0,1,,1,,,,,,ANTWERPEN
475000.0,1820,4.0,161.0,721.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,INSTALLED,0,1,,1,GOOD,43.0,C,258.0,GAS,VLAAMS-BRABANT
560000.0,9050,3.0,153.0,286.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,19.0,1,,16.0,A,20.0,,OOST-VLAANDEREN
566800.0,9050,3.0,153.0,304.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,19.0,1,,16.0,A,20.0,,OOST-VLAANDEREN
640000.0,9050,4.0,153.0,402.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,18.0,1,,21.0,A,20.0,,OOST-VLAANDEREN
415000.0,1070,3.0,107.0,250.0,HOUSE,HOUSE,3.0,1.0,2.0,6.0,USA_HYPER_EQUIPPED,0,1,70.0,1,JUST_RENOVATED,30.0,D,174.0,GAS,BRUSSEL
170000.0,4800,2.0,65.0,110.0,HOUSE,HOUSE,2.0,1.0,1.0,4.0,INSTALLED,0,1,4.0,1,GOOD,10.0,E,414.0,FUELOIL,LUIK
669000.0,7730,4.0,300.0,2990.0,HOUSE,VILLA,4.0,2.0,,6.0,INSTALLED,0,1,,0,JUST_RENOVATED,,C,217.0,GAS,HENEGOUWEN
565000.0,7712,2.0,186.0,1800.0,HOUSE,HOUSE,4.0,2.0,,6.0,INSTALLED,0,1,180.0,1,AS_NEW,45.0,C,184.0,GAS,HENEGOUWEN
475000.0,7700,4.0,292.0,1272.0,HOUSE,COUNTRY_COTTAGE,5.0,2.0,,7.0,INSTALLED,0,1,,1,GOOD,27.0,C,235.0,FUELOIL,HENEGOUWEN
559120.0,9506,4.0,190.0,725.0,HOUSE,VILLA,3.0,,,3.0,,0,0,,1,,,,,,OOST-VLAANDEREN
479000.0,2890,3.0,245.0,569.0,HOUSE,HOUSE,2.0,1.0,2.0,5.0,INSTALLED,0,1,,0,GOOD,22.0,B,122.0,GAS,ANTWERPEN
589000.0,2500,3.0,235.0,402.0,HOUSE,HOUSE,5.0,2.0,,7.0,HYPER_EQUIPPED,0,1,30.0,0,GOOD,32.0,C,205.0,GAS,ANTWERPEN
249000.0,2200,3.0,129.0,490.0,HOUSE,HOUSE,2.0,1.0,,3.0,SEMI_EQUIPPED,0,0,,0,TO_RENOVATE,,F,1024.0,,ANTWERPEN
275000.0,8540,3.0,,1720.0,HOUSE,HOUSE,2.0,,,2.0,INSTALLED,0,1,,0,,,F,1619.0,,WEST-VLAANDEREN
550000.0,2400,4.0,230.0,2100.0,HOUSE,HOUSE,6.0,2.0,3.0,11.0,HYPER_EQUIPPED,0,1,,0,GOOD,,D,304.0,,ANTWERPEN
299000.0,2350,4.0,166.0,762.0,HOUSE,HOUSE,3.0,1.0,,4.0,INSTALLED,0,0,,0,TO_RENOVATE,30.0,F,559.0,GAS,ANTWERPEN
367002.0,9150,3.0,140.0,305.0,HOUSE,VILLA,3.0,1.0,2.0,6.0,,0,0,,0,,,,,ELECTRIC,OOST-VLAANDEREN
499571.0,9150,4.0,180.0,555.0,HOUSE,VILLA,3.0,,,3.0,,0,0,,0,,,,,ELECTRIC,OOST-VLAANDEREN
550000.0,9000,2.0,302.0,138.0,HOUSE,MANSION,5.0,2.0,3.0,10.0,USA_HYPER_EQUIPPED,0,1,,0,TO_BE_DONE_UP,,D,337.0,GAS,OOST-VLAANDEREN
325000.0,9185,2.0,139.0,420.0,HOUSE,HOUSE,3.0,1.0,1.0,5.0,HYPER_EQUIPPED,0,1,25.0,1,GOOD,23.0,D,357.0,GAS,OOST-VLAANDEREN
295000.0,9050,2.0,124.0,53.0,HOUSE,HOUSE,3.0,1.0,1.0,5.0,USA_HYPER_EQUIPPED,0,1,,0,GOOD,22.0,C,262.0,GAS,OOST-VLAANDEREN
275000.0,9820,2.0,135.0,210.0,HOUSE,HOUSE,3.0,1.0,1.0,5.0,,0,0,,0,,33.0,F,701.0,,OOST-VLAANDEREN
275000.0,3200,3.0,82.0,237.0,HOUSE,HOUSE,1.0,1.0,4.0,6.0,HYPER_EQUIPPED,0,1,,0,AS_NEW,,,,GAS,VLAAMS-BRABANT
