ID,Locality,Postal Code,Build Year,Facades,Habitable Surface,Land Surface,Type,Subtype,Price,Sale Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen,Kitchen Surface,Kitchen Type,Furnished,Openfire,Fireplace Count,Terrace,Terrace Surface,Terrace Orientation,Garden Exists,Garden Surface,Garden Orientation,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Cadastral Income,Has starting Price,Transaction Subtype,Heating Type,Is Holiday Property,Gas Water Electricity,Sewer,Sea view,Parking count inside,Parking count outside,Parking box count
10924387,HOBOKEN,2660,1939,2,216,141,HOUSE,HOUSE,325000,NORMAL_SALE,6,,3,9,True,5,SEMI_EQUIPPED,False,False,,True,,,False,,,,AS_NEW,18,C,286,1199,,BUY_REGULAR,GAS,,True,,,2,,
10924605,SOIGNIES,7060,1958,4,120,980,HOUSE,HOUSE,325000,NORMAL_SALE,2,1,1,4,True,9,NOT_INSTALLED,False,True,1,True,,,False,,,,TO_BE_DONE_UP,30,F,468,1219,,BUY_REGULAR,FUELOIL,,True,,,1,4,
11105061,RONSE,9600,1973,2,317,520,HOUSE,HOUSE,325000,NORMAL_SALE,4,2,2,8,True,,SEMI_EQUIPPED,False,True,1,False,,,False,,,,,,E,429,1336,,BUY_REGULAR,FUELOIL,,True,,,4,2,
11073722,Ronse,9600,1949,3,195,533,HOUSE,HOUSE,325000,NORMAL_SALE,4,1,1,6,True,6,INSTALLED,False,True,-1,True,,,False,,,,,,C,279,550,False,BUY_REGULAR,GAS,,False,,,2,3,
11137517,Ninove,9400,1955,4,211,868,HOUSE,HOUSE,329000,NORMAL_SALE,3,1,2,6,True,,SEMI_EQUIPPED,False,False,,False,,,False,,,,TO_RENOVATE,,F,623,676,False,BUY_REGULAR,FUELOIL,,,CONNECTED,,,,
11123938,BERLAAR,2590,1957,3,207,0,HOUSE,HOUSE,339000,NORMAL_SALE,5,1,2,8,True,10,SEMI_EQUIPPED,False,False,,False,,,False,,,,TO_RENOVATE,26,F,643,835,,BUY_REGULAR,FUELOIL,,True,,,,5,
11169663,BONHEIDEN,2820,1961,3,118,664,HOUSE,HOUSE,339000,NORMAL_SALE,3,1,2,6,True,,SEMI_EQUIPPED,False,False,,True,,,False,,,,TO_BE_DONE_UP,,F,730,525,,BUY_REGULAR,GAS,,True,,,2,3,
11196738,KAPELLEN,2950,2017,4,357,2230,HOUSE,HOUSE,895000,NORMAL_SALE,3,2,2,7,True,,HYPER_EQUIPPED,False,False,,True,,,True,280,NORTH_EAST,,,100,A,52,0,,BUY_REGULAR,,,True,,,,,
11196737,Kruibeke,9150,1960,3,162,254,HOUSE,HOUSE,365000,NORMAL_SALE,2,1,,3,True,13,INSTALLED,False,False,,True,27,,False,,,False,,30,D,387,423,False,BUY_REGULAR,GAS,,True,CONNECTED,,1,,
11196735,Ekeren,2180,,2,73,90,HOUSE,HOUSE,185000,NORMAL_SALE,2,1,1,4,False,,,False,False,,True,,,False,,,,,,C,294,0,,BUY_REGULAR,GAS,,True,,,,,
11196734,KAPELLEN,2950,1970,3,162,652,HOUSE,TOWN_HOUSE,425000,NORMAL_SALE,3,1,2,6,True,,INSTALLED,False,False,,True,,,True,520,EAST,,TO_BE_DONE_UP,,B,127,1137,,BUY_REGULAR,,,True,,,2,,
11196733,ANDENNE,5300,,2,80,,APARTMENT,APARTMENT,185000,NORMAL_SALE,2,1,,3,False,,,False,False,,True,46,,False,,,False,,,B,125,1,True,BUY_REGULAR,GAS,,,,,,,
11196732,EKEREN,2180,2001,2,636,270,HOUSE,APARTMENT_BLOCK,1400000,NORMAL_SALE,6,2,4,12,True,,INSTALLED,False,False,,False,,,False,,,,GOOD,,B,198,6075,,BUY_REGULAR,GAS,,True,,,,,
11196730,SCHOTEN,2900,1912,2,138,145,HOUSE,HOUSE,279000,NORMAL_SALE,2,1,2,5,True,,INSTALLED,False,False,,False,,,False,,,,TO_BE_DONE_UP,,E,467,0,,BUY_REGULAR,GAS,,False,,,1,,
11196729,SCHOTEN,2900,,2,250,172,HOUSE,HOUSE,439000,NORMAL_SALE,4,2,3,9,False,,,False,False,,False,,,False,,,,GOOD,42,D,342,0,,BUY_REGULAR,,,False,,,1,1,
11196727,Zandvliet,2040,1968,3,207,317,HOUSE,HOUSE,350000,NORMAL_SALE,3,1,,4,True,,INSTALLED,False,False,,False,,,False,,,,GOOD,,E,425,0,,BUY_REGULAR,GAS,,False,,,1,2,
11196726,HOEVENEN,2940,1969,3,164,252,HOUSE,HOUSE,319000,NORMAL_SALE,5,2,3,10,True,,INSTALLED,False,False,,False,,,False,,,,GOOD,,D,340,704,,BUY_REGULAR,GAS,,True,,,,,
11196725,EKEREN,2180,,2,67,,APARTMENT,APARTMENT,169000,NORMAL_SALE,1,1,1,3,True,,INSTALLED,False,False,,False,,,False,,,,GOOD,,F,686,0,,BUY_REGULAR,GAS,,,,,,,
11196723,Ekeren,2180,1962,3,176,323,HOUSE,HOUSE,339000,NORMAL_SALE,3,1,2,6,True,,SEMI_EQUIPPED,False,False,,False,,,True,166,NORTH,,TO_RENOVATE,34,F,957,909,,BUY_REGULAR,FUELOIL,,True,,,1,,
11196719,LIÈGE,4020,1920,2,620,0,HOUSE,MIXED_USE_BUILDING,350000,NORMAL_SALE,5,3,3,11,False,,,False,False,,True,100,,False,,,,,58,D,291,1975,,BUY_REGULAR,GAS,,True,,,,,
11196718,DEURNE,2100,1933,2,131,111,HOUSE,HOUSE,349000,NORMAL_SALE,4,1,2,7,True,,SEMI_EQUIPPED,False,False,,False,,,True,55,WEST,,JUST_RENOVATED,,B,127,0,,BUY_REGULAR,GAS,,False,,,,,
11196717,Deurne,2100,1938,2,118,120,HOUSE,HOUSE,245000,NORMAL_SALE,3,,1,4,True,,NOT_INSTALLED,False,False,,False,,,True,50,SOUTH,,TO_RENOVATE,28,E,471,592,,BUY_REGULAR,GAS,,True,,,,,
11196715,DEURNE,2100,1938,2,156,112,HOUSE,HOUSE,315000,NORMAL_SALE,3,2,2,7,True,,SEMI_EQUIPPED,False,False,,True,8,,True,32,SOUTH,,AS_NEW,,C,249,736,,BUY_REGULAR,GAS,,True,,,,,
11196713,DEURNE,2100,1969,2,85,,APARTMENT,APARTMENT,199000,NORMAL_SALE,2,1,1,4,True,,SEMI_EQUIPPED,False,False,,True,4,,False,,,,GOOD,28,B,198,783,,BUY_REGULAR,GAS,,,,,,,
11196708,Deurne,2100,1930,3,44,,APARTMENT,APARTMENT,139000,NORMAL_SALE,1,1,1,3,True,,SEMI_EQUIPPED,False,False,,False,,,False,,,,AS_NEW,,F,853,304,,BUY_REGULAR,ELECTRIC,,,,,,,
11196707,Deurne,2100,1933,2,155,135,HOUSE,HOUSE,329000,NORMAL_SALE,3,1,2,6,True,,USA_INSTALLED,False,False,,False,,,True,60,EAST,,JUST_RENOVATED,27,B,183,682,,BUY_REGULAR,GAS,,True,,,,,
11196706,Deurne,2100,1930,2,145,77,HOUSE,HOUSE,309000,NORMAL_SALE,3,2,2,7,True,,SEMI_EQUIPPED,False,False,,True,15,,False,,,,GOOD,,C,257,0,,BUY_REGULAR,GAS,,True,,,,,
11196705,Deurne,2100,1921,2,180,111,HOUSE,HOUSE,299000,NORMAL_SALE,3,1,2,6,True,,SEMI_EQUIPPED,False,False,,False,,,True,57,EAST,,GOOD,,C,205,562,,BUY_REGULAR,GAS,,True,,,,,
11196702,Deurne,2100,1928,,157,169,HOUSE,HOUSE,349000,NORMAL_SALE,3,1,1,5,True,,SEMI_EQUIPPED,False,False,,False,,,False,,,,GOOD,,C,266,0,,BUY_REGULAR,GAS,,True,,,,,
11196701,Deurne,2100,1930,2,179,158,HOUSE,HOUSE,299000,NORMAL_SALE,4,1,1,6,True,,NOT_INSTALLED,False,False,,False,,,True,50,WEST,,TO_RENOVATE,25,F,763,818,,BUY_REGULAR,,,True,,,,,
11196699,DEURNE,2100,,2,111,170,HOUSE,HOUSE,229000,NORMAL_SALE,2,1,1,4,True,,NOT_INSTALLED,False,False,,False,,,True,60,EAST,,TO_RENOVATE,,F,572,572,,BUY_REGULAR,GAS,,True,,,,,
11196696,DEURNE,2100,1961,2,87,,APARTMENT,APARTMENT,189000,NORMAL_SALE,2,1,1,4,True,,SEMI_EQUIPPED,False,False,,True,2,,False,,,,GOOD,,B,192,640,,BUY_REGULAR,GAS,,,,,,,
11196695,Aalst Moorsel,9310,1958,3,185,543,HOUSE,HOUSE,235000,NORMAL_SALE,4,,,4,True,9,NOT_INSTALLED,False,False,,True,,,False,,,,TO_RENOVATE,35,F,1220,651,False,BUY_REGULAR,,,,CONNECTED,,,,
11196694,Deurne,2100,1956,2,97,,APARTMENT,APARTMENT,169000,NORMAL_SALE,2,1,1,4,True,,SEMI_EQUIPPED,False,False,,True,2,,False,,,,TO_BE_DONE_UP,38,C,234,669,,BUY_REGULAR,GAS,,,,,,,
11144168,Willebroek,2830,,2,124,457,HOUSE,APARTMENT_BLOCK,370000,NORMAL_SALE,3,2,3,8,False,6,,False,False,,False,,,False,,,False,TO_BE_DONE_UP,35,C,294,0,False,BUY_REGULAR,,,True,CONNECTED,,1,,
11193416,AALST,9300,2023,4,110,,APARTMENT,APARTMENT,275250,NORMAL_SALE,3,1,,4,True,,INSTALLED,False,False,,True,8,,False,,,,,,,,0,,BUY_REGULAR,GAS,,,,,,,
11188110,Knokke-Heist,8300,2023,4,502,1084,HOUSE,HOUSE,4985000,NORMAL_SALE,3,3,3,9,True,,HYPER_EQUIPPED,False,False,,False,,,False,,,,AS_NEW,,,,0,False,BUY_REGULAR,GAS,,,CONNECTED,,2,2,
